Labels	2# Normalised	3# Normalised	1# Normalised
Type	Emission Scan	Emission Scan	Emission Scan

638	1937.3772	1224.92578	6482.99268
639	1899.57666	1157.35376	6436.57568
640	1827.2384	1145.34863	6467.47412
641	1903.93066	1151.08301	6358.04199
642	1870.98242	1035.15198	6338.89453
643	1820.05664	1120.72681	6153.88184
644	1856.74731	1139.90552	6306.60986
645	1815.23755	1195.97656	5697.43604
646	1791.14124	1143.16345	5748.9668
647	1669.43884	1115.99512	5647.49854
648	1730.34729	1140.90466	5574.58301
649	1677.59875	1120.08508	5721.88672
650	1731.33569	1067.32764	5475.92334
651	1611.16016	1060.90027	5636.67236
652	1551.50342	1117.97266	5541.85107
653	1669.09009	1072.47156	5123.74219
654	1580.88623	1098.1842	5348.04004
655	1692.21655	1082.27832	5179.66553
656	1660.40198	1030.67102	5489.29541
657	1544.83679	1070.35461	5336.06592
658	1519.21753	978.37128	5135.82617
659	1597.79675	1039.57471	4957.58789
660	1629.78833	1126.6842	4921.49756
661	1581.98206	1039.10632	4609.71484
662	1510.72449	930.38739	4661.97021
663	1532.38574	1055.40356	4450.93457
664	1627.14514	1076.4939	4697.40771
665	1490.52209	1091.39099	4629.09424
666	1459.52051	967.79059	4496.30273
667	1410.76001	921.75177	4356.32715
668	1361.43347	1056.11328	4198.32227
669	1423.84827	1039.97034	4071.93262
670	1579.45667	1119.30652	4004.35132
671	1619.80981	1045.86572	3970.5625
672	1390.94336	1026.09338	4060.90015
673	1446.89099	1020.59485	3917.94019
674	1366.84399	1033.88586	4051.29395
675	1487.12219	1178.01062	3917.48657
676	1556.58228	919.68921	4008.35156
677	1331.1748	931.49829	3844.5459
678	1485.54675	956.07623	3687.9126
679	1445.39355	1032.14807	3921.42432
680	1242.81824	830.01129	3407.75244
681	1366.87219	882.86462	3484.11523
682	1284.43457	875.58295	3231.90991
683	1235.11072	999.2887	3453.44043
684	1293.67859	796.26209	3332.21777
685	1178.34814	829.68848	3207.17212
686	1348.4585	730.5979	3137.97192
687	1225.23657	738.91303	3086.2749
688	1200.96338	964.51654	3155.95972
689	1229.31482	1027.27026	2988.65234
690	1237.8479	932.93359	3091.22461
691	1177.07434	1001.54895	3012.93384
692	1359.42163	865.57208	2746.06616
693	1273.52283	870.47748	2752.92065
694	1325.43872	963.15906	2784.83276
695	1197.32227	974.55981	2735.95898
696	1253.19373	958.24475	2786.23364
697	1257.75623	819.47351	2811.26245
698	1210.349	875.79767	2297.43848
699	1256.15356	915.78265	2511.66748
700	1182.12939	852.88434	2313.85254
701	1223.57349	817.97131	2761.99927
702	1257.9425	921.51135	2517.93237
703	1174.79297	919.41199	2534.36377
704	1235.97754	791.52863	2434.92407
705	1312.37439	920.61865	1999.46045
706	1368.26111	876.05115	2210.68872
707	1135.31372	870.80731	2172.60181
708	1235.177	900.57971	2290.47998
709	1228.3252	887.54816	2445.56079
710	1308.85742	955.13568	2186.12671
711	1195.67236	801.2605	2335.38281
712	1192.74829	877.18561	2403.09448
713	1178.34692	854.14417	2162.16357
714	1330.04822	948.64038	2339.62012
715	1237.72583	966.14636	2049.71582
716	1309.31812	1016.82129	1787.53894
717	1310.87061	926.61438	2058.82642
718	1177.61316	1028.39954	1839.1936
719	1279.8158	917.90656	2121.9021
720	1232.88196	863.78357	2370.15942
721	1152.71033	904.89899	1924.5293
722	1306.05115	1021.67236	1785.2981
723	1417.22974	939.16693	1790.27124
724	1381.24719	985.15741	2351.30469
725	1228.64685	945.55981	2133.97705
726	1134.34253	923.47925	1469.39709
727	1371.65894	939.51526	1669.84937
728	1080.30054	1027.14856	2087.43799
729	1346.41223	1139.4563	1911.94324
730	1315.64905	1297.70667	1846.61389
731	1403.53113	880.97565	2085.55615
732	1450.68811	896.98468	1966.8064
733	1424.21838	1012.53351	2071.40918
734	1328.91516	1108.91052	1854.46924
735	1261.41016	1059.56897	1667.61121
736	1477.87048	961.63452	1791.3457
737	1315.57568	871.59631	2032.77051
738	1194.84033	972.31451	1972.5542
739	1394.88794	1075.61206	1731.1355
740	1343.89343	905.2644	1800.51819
741	1468.65698	1125.76294	1608.06409
742	1357.54541	1080.85767	1491.88367
743	1495.48108	941.10126	1940.33997
744	1672.17432	930.17773	1994.8573
745	1238.36719	1000.10339	1634.91541
746	1258.86182	960.94763	2215.96362
747	1646.6626	850.81744	1962.9823
748	1362.87219	938.91345	1815.73035
749	1541.41309	1116.67981	1566.39709
750	1399.80688	1105.61694	2068.25562
751	1323.79639	911.99323	1983.19885
752	1233.84155	880.93127	1426.28784
753	1576.17444	895.83649	1925.55798
754	1498.26965	1215.36963	1653.94153
755	1512.63513	878.01514	1785.12805
756	1602.15259	1090.24377	1734.745
757	1295.49463	805.53449	1762.3772
758	1384.40405	767.65027	1655.74231
759	1408.97852	1076.42578	1823.25903
760	1563.10291	1060.78455	1969.18262
761	1566.40186	1115.10071	1488.11926
762	1350.96277	987.21619	1541.72314
763	1508.60364	1078.17981	1893.0199
764	1395.2926	1038.49182	1742.53052
765	1491.12805	1015.08392	1798.00171
766	1462.71692	1050.1283	1670.91504
767	1277.71179	849.70551	1823.64368
768	1246.04297	1024.6333	1694.28381
769	1590.93994	1164.76892	1593.21008
770	1642.98413	1079.0675	1915.07275
771	1652.63391	1094.52625	1406.64392
772	1395.85559	1175.33362	2244.16309
773	1591.00708	782.06854	2419.64893
774	1647.16064	839.52625	1617.03918
775	1555.35815	965.38989	1714.69751
776	1398.81921	889.07092	2394.02002
777	1574.43103	973.03589	1621.97534
778	1446.04858	1107.62036	1987.38037
779	1564.01135	1245.09131	1828.73645
780	1235.70105	997.24005	2089.88135
781	1338.22888	989.39496	2479.4895
782	1210.41785	980.09973	1919.37097
783	1565.89209	714.54578	1705.42773
784	1642.53748	881.69049	1691.73792
785	1424.92236	1027.15283	1634.35767
786	1375.50488	908.73999	1913.75012
787	1306.94275	1248.20154	1813.37732
788	1620.09985	827.68713	1492.57397
789	1499.88049	1150.66418	1830.88318
790	1431.1532	913.30457	1453.20764
791	1417.59778	842.00073	1709.33899
792	1440.03503	737.35144	1407.88696
793	1444.48035	809.74023	1670.17517
794	1613.29297	886.36865	2091.2063
795	1374.51953	1057.1781	1781.08142
796	1818.00757	1171.84802	1914.98425
797	1513.45032	743.07184	1902.02722
798	1323.79407	986.74524	1936.41077
799	1305.85046	805.09265	2135.04297
800	1380.45264	1063.27722	2019.28943
